================================================================================
process logger: Sun Apr 28 11:53:56 2019
================================================================================

{'pid': 474, 'vms': 0.0, 'name': 'loop6', 'username': 'root'}
{'pid': 476, 'vms': 0.0, 'name': 'irq/67-smo8800', 'username': 'root'}
{'pid': 477, 'vms': 0.0, 'name': 'loop7', 'username': 'root'}
{'pid': 479, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 480, 'vms': 0.0, 'name': 'loop8', 'username': 'root'}
{'pid': 482, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 483, 'vms': 0.0, 'name': 'loop9', 'username': 'root'}
{'pid': 484, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 524, 'vms': 0.0, 'name': 'loop10', 'username': 'root'}
{'pid': 545, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 547, 'vms': 0.0, 'name': 'loop11', 'username': 'root'}
{'pid': 579, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 580, 'vms': 0.0, 'name': 'loop12', 'username': 'root'}
{'pid': 595, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 596, 'vms': 0.0, 'name': 'loop13', 'username': 'root'}
{'pid': 597, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 606, 'vms': 0.0, 'name': 'loop14', 'username': 'root'}
{'pid': 608, 'vms': 0.0, 'name': 'cfg80211', 'username': 'root'}
{'pid': 610, 'vms': 0.0, 'name': 'kmemstick', 'username': 'root'}
{'pid': 612, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 613, 'vms': 0.0, 'name': 'loop15', 'username': 'root'}
{'pid': 614, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 616, 'vms': 0.0, 'name': 'irq/136-iwlwifi', 'username': 'root'}
{'pid': 640, 'vms': 0.0, 'name': 'kworker/u9:0', 'username': 'root'}
{'pid': 641, 'vms': 0.0, 'name': 'loop16', 'username': 'root'}
{'pid': 643, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 644, 'vms': 0.0, 'name': 'kvm-irqfd-clean', 'username': 'root'}
{'pid': 646, 'vms': 0.0, 'name': 'loop17', 'username': 'root'}
{'pid': 654, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 655, 'vms': 0.0, 'name': 'loop18', 'username': 'root'}
{'pid': 657, 'vms': 0.0, 'name': 'kworker/u9:1', 'username': 'root'}
{'pid': 704, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 709, 'vms': 0.0, 'name': 'loop19', 'username': 'root'}
{'pid': 849, 'vms': 0.0, 'name': 'irq/51-DLL07D1:', 'username': 'root'}
{'pid': 1201, 'vms': 99.984375, 'name': 'systemd-timesyncd', 'username': 'systemd-timesync'}
{'pid': 1209, 'vms': 403.89453125, 'name': 'ModemManager', 'username': 'root'}
{'pid': 1211, 'vms': 269.41796875, 'name': 'accounts-daemon', 'username': 'root'}
{'pid': 1217, 'vms': 28.0, 'name': 'systemd-logind', 'username': 'root'}
{'pid': 1221, 'vms': 43.98828125, 'name': 'avahi-daemon', 'username': 'avahi'}
{'pid': 1225, 'vms': 28.328125, 'name': 'cron', 'username': 'root'}
{'pid': 1254, 'vms': 250.3828125, 'name': 'rsyslogd', 'username': 'syslog'}
{'pid': 1258, 'vms': 4.29296875, 'name': 'acpid', 'username': 'root'}
{'pid': 1259, 'vms': 31.20703125, 'name': 'bluetoothd', 'username': 'root'}
{'pid': 1264, 'vms': 43.734375, 'name': 'avahi-daemon', 'username': 'avahi'}
{'pid': 1268, 'vms': 25.43359375, 'name': 'atd', 'username': 'root'}
{'pid': 1270, 'vms': 476.31640625, 'name': 'snapd', 'username': 'root'}
{'pid': 1272, 'vms': 43.5, 'name': 'dbus-daemon', 'username': 'messagebus'}
{'pid': 1302, 'vms': 162.5234375, 'name': 'thermald', 'username': 'root'}
{'pid': 1343, 'vms': 19.109375, 'name': 'irqbalance', 'username': 'root'}
{'pid': 1363, 'vms': 438.08984375, 'name': 'colord', 'username': 'colord'}
{'pid': 1369, 'vms': 275.3359375, 'name': 'polkitd', 'username': 'root'}
{'pid': 1384, 'vms': 1146.0078125, 'name': 'mysqld', 'username': 'mysql'}
{'pid': 1412, 'vms': 342.2890625, 'name': 'lightdm', 'username': 'root'}
{'pid': 1695, 'vms': 0.0, 'name': 'bioset', 'username': 'root'}
{'pid': 1807, 'vms': 751.921875, 'name': 'Xorg', 'username': 'root'}
{'pid': 1831, 'vms': 43.09765625, 'name': 'wpa_supplicant', 'username': 'root'}
{'pid': 2041, 'vms': 240.7890625, 'name': 'lightdm', 'username': 'root'}
{'pid': 2068, 'vms': 44.32421875, 'name': 'systemd', 'username': 'inarvekar'}
{'pid': 2069, 'vms': 80.05078125, 'name': '(sd-pam)', 'username': 'inarvekar'}
{'pid': 2076, 'vms': 45.3671875, 'name': 'upstart', 'username': 'inarvekar'}
{'pid': 2162, 'vms': 32.08984375, 'name': 'upstart-udev-bridge', 'username': 'inarvekar'}
{'pid': 2174, 'vms': 43.98828125, 'name': 'dbus-daemon', 'username': 'inarvekar'}
{'pid': 2202, 'vms': 84.3203125, 'name': 'window-stack-bridge', 'username': 'inarvekar'}
{'pid': 2220, 'vms': 351.57421875, 'name': 'gnome-keyring-daemon', 'username': 'inarvekar'}
{'pid': 2260, 'vms': 32.0234375, 'name': 'upstart-dbus-bridge', 'username': 'inarvekar'}
{'pid': 2262, 'vms': 40.31640625, 'name': 'upstart-file-bridge', 'username': 'inarvekar'}
{'pid': 2301, 'vms': 32.0859375, 'name': 'upstart-dbus-bridge', 'username': 'inarvekar'}
