================================================================================
process logger: Thu May  9 16:31:35 2019
================================================================================

{'pid': 480, 'vms': 0.0, 'username': 'root', 'name': 'loop5'}
{'pid': 500, 'vms': 0.0, 'username': 'root', 'name': 'loop6'}
{'pid': 535, 'vms': 0.0, 'username': 'root', 'name': 'loop7'}
{'pid': 574, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 576, 'vms': 0.0, 'username': 'root', 'name': 'loop8'}
{'pid': 577, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 588, 'vms': 0.0, 'username': 'root', 'name': 'loop9'}
{'pid': 596, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 597, 'vms': 0.0, 'username': 'root', 'name': 'loop10'}
{'pid': 600, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 602, 'vms': 0.0, 'username': 'root', 'name': 'loop11'}
{'pid': 628, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 629, 'vms': 0.0, 'username': 'root', 'name': 'loop12'}
{'pid': 631, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 632, 'vms': 0.0, 'username': 'root', 'name': 'kvm-irqfd-clean'}
{'pid': 634, 'vms': 0.0, 'username': 'root', 'name': 'kmemstick'}
{'pid': 635, 'vms': 0.0, 'username': 'root', 'name': 'cfg80211'}
{'pid': 639, 'vms': 0.0, 'username': 'root', 'name': 'loop13'}
{'pid': 640, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 641, 'vms': 0.0, 'username': 'root', 'name': 'irq/136-iwlwifi'}
{'pid': 649, 'vms': 0.0, 'username': 'root', 'name': 'loop14'}
{'pid': 670, 'vms': 0.0, 'username': 'root', 'name': 'kworker/u9:0'}
{'pid': 687, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 689, 'vms': 0.0, 'username': 'root', 'name': 'loop15'}
{'pid': 690, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 706, 'vms': 0.0, 'username': 'root', 'name': 'loop16'}
{'pid': 715, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 716, 'vms': 0.0, 'username': 'root', 'name': 'loop17'}
{'pid': 717, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 718, 'vms': 0.0, 'username': 'root', 'name': 'kworker/u9:1'}
{'pid': 728, 'vms': 0.0, 'username': 'root', 'name': 'loop18'}
{'pid': 729, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 742, 'vms': 0.0, 'username': 'root', 'name': 'loop19'}
{'pid': 754, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 755, 'vms': 0.0, 'username': 'root', 'name': 'loop20'}
{'pid': 770, 'vms': 0.0, 'username': 'root', 'name': 'bioset'}
{'pid': 771, 'vms': 0.0, 'username': 'root', 'name': 'loop21'}
